No,Movie
1,The Shawshank Redemption
2,The Godfather
3,The Dark Knight
4,The Godfather Part II
5,12 Angry Men
6,Schindler's List
7,The Lord of the Rings: The Return of the King
8,Pulp Fiction
9,The Lord of the Rings: The Fellowship of the Ring
10,"Il buono, il brutto, il cattivo"
11,Spider-Man: Across the Spider-Verse
12,Forrest Gump
13,Fight Club
14,The Lord of the Rings: The Two Towers
15,Inception
16,Star Wars: Episode V - The Empire Strikes Back
17,The Matrix
18,GoodFellas
19,One Flew Over the Cuckoo's Nest
20,Se7en
21,It's a Wonderful Life
22,Shichinin no samurai
23,The Silence of the Lambs
24,Saving Private Ryan
25,Cidade de Deus
26,Interstellar
27,La vita è bella
28,The Green Mile
29,Star Wars
30,Terminator 2: Judgment Day
31,Back to the Future
32,Sen to Chihiro no kamikakushi
33,The Pianist
34,Psycho
35,Gisaengchung
36,Léon
37,The Lion King
38,Gladiator
39,American History X
40,The Departed
41,Whiplash
42,The Prestige
43,The Usual Suspects
44,Casablanca
45,Hotaru no haka
46,Seppuku
47,The Intouchables
48,Modern Times
49,Once Upon a Time in the West
50,Nuovo Cinema Paradiso
51,Rear Window
52,Alien
53,City Lights
54,Apocalypse Now
55,Memento
56,Django Unchained
57,Raiders of the Lost Ark
58,WALL·E
59,The Lives of Others
60,Sunset Blvd.
61,Paths of Glory
62,Avengers: Infinity War
63,The Shining
64,The Great Dictator
65,Witness for the Prosecution
66,Spider-Man: Into the Spider-Verse
67,Aliens
68,American Beauty
69,The Dark Knight Rises
70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
71,Inglourious Basterds
72,Oldeuboi
73,Coco
74,Amadeus
75,Toy Story
76,Braveheart
77,Das Boot
78,Joker
79,Avengers: Endgame
80,Mononoke-hime
81,Good Will Hunting
82,Once Upon a Time in America
83,Kimi no na wa.
84,3 Idiots
85,Singin' in the Rain
86,Tengoku to jigoku
87,Requiem for a Dream
88,Capharnaüm
89,Toy Story 3
90,Star Wars: Episode VI - Return of the Jedi
91,Idi i smotri
92,Eternal Sunshine of the Spotless Mind
93,2001: A Space Odyssey
94,Jagten
95,Reservoir Dogs
96,Lawrence of Arabia
97,Citizen Kane
98,M - Eine Stadt sucht einen Mörder
99,Ikiru
100,North by Northwest
101,The Apartment
102,Vertigo
103,Le fabuleux destin d'Amélie Poulain
104,Double Indemnity
105,A Clockwork Orange
106,Full Metal Jacket
107,Hamilton
108,Scarface
109,Incendies
110,Heat
111,Up
112,To Kill a Mockingbird
113,The Sting
114,Jodaeiye Nader az Simin
115,Metropolis
116,L.A. Confidential
117,Die Hard
118,Indiana Jones and the Last Crusade
119,Snatch
120,Taxi Driver
121,Ladri di biciclette
122,Taare Zameen Par
123,1917
124,Dangal
125,Der Untergang
126,Top Gun: Maverick
127,Per qualche dollaro in più
128,Batman Begins
129,The Kid
130,Some Like It Hot
131,The Father
132,The Wolf of Wall Street
133,All About Eve
134,Green Book
135,Judgment at Nuremberg
136,Ran
137,The Truman Show
138,Casino
139,There Will Be Blood
140,Pan's Labyrinth
141,Unforgiven
142,Shutter Island
143,The Sixth Sense
144,Jurassic Park
145,A Beautiful Mind
146,Yôjinbô
147,The Treasure of the Sierra Madre
148,Monty Python and the Holy Grail
149,No Country for Old Men
150,Kill Bill: Vol. 1
151,The Great Escape
152,Rashômon
153,The Thing
154,Finding Nemo
155,Spider-Man: No Way Home
156,The Elephant Man
157,Chinatown
158,Raging Bull
159,V for Vendetta
160,Gone with the Wind
161,Dial M for Murder
162,Inside Out
163,"Lock, Stock and Two Smoking Barrels"
164,Hauru no ugoku shiro
165,El secreto de sus ojos
166,Guardians of the Galaxy Vol. 3
167,"Three Billboards Outside Ebbing, Missouri"
168,Prisoners
169,Trainspotting
170,The Bridge on the River Kwai
171,Fargo
172,Warrior
173,Gran Torino
174,Catch Me If You Can
175,Tonari no Totoro
176,Million Dollar Baby
177,Bacheha-Ye aseman
178,The Gold Rush
179,Blade Runner
180,Klaus
181,Harry Potter and the Deathly Hallows: Part 2
182,12 Years a Slave
183,Before Sunrise
184,The Grand Budapest Hotel
185,Ben-Hur
186,On the Waterfront
187,Gone Girl
188,Barry Lyndon
189,The General
190,Smultronstället
191,In the Name of the Father
192,The Deer Hunter
193,Hacksaw Ridge
194,The Third Man
195,Le salaire de la peur
196,Salinui chueok
197,Sherlock Jr.
198,Relatos salvajes
199,Mr. Smith Goes to Washington
200,Mad Max: Fury Road
201,Mary and Max.
202,Dead Poets Society
203,How to Train Your Dragon
204,"Monsters, Inc."
205,Det sjunde inseglet
206,Jaws
207,Room
208,The Big Lebowski
209,Tôkyô monogatari
210,Ford v Ferrari
211,La passion de Jeanne d'Arc
212,Hotel Rwanda
213,Rocky
214,Ratatouille
215,Platoon
216,Spotlight
217,Logan
218,The Terminator
219,Jai Bhim
220,Rush
221,Stand by Me
222,Before Sunset
223,Network
224,Into the Wild
225,The Wizard of Oz
226,The Best Years of Our Lives
227,The Exorcist
228,La haine
229,The Incredibles
230,To Be or Not to Be
231,Groundhog Day
232,Pirates of the Caribbean: The Curse of the Black Pearl
233,La battaglia di Algeri
234,The Grapes of Wrath
235,Babam ve Oglum
236,Hachi: A Dog's Tale
237,Pather Panchali
238,Ah-ga-ssi
239,Amores perros
240,Rebecca
241,Cool Hand Luke
242,The Sound of Music
243,It Happened One Night
244,Les quatre cents coups
245,Persona
246,The Help
247,Life of Brian
248,The Iron Giant
249,Aladdin
250,Dances with Wolves
