No,Series
1,Rocket Boys(2022– )
2,The Family Man(2019– )
3,Aspirants(2021– )
4,Paatal Lok(2020– )
5,Asur: Welcome to Your Dark Side(2020– )
6,Kota Factory(2019–2021)
7,Scam 1992: The Harshad Mehta Story(2020)
8,Undekhi(2020– )
9,Candy(2021– )
10,Mirzapur(2018– )
11,Special OPS(2020– )
12,Panchayat(2020– )
13,Aranyak(2021– )
14,Inside Edge(2017– )
15,TVF Pitchers(2015–2022)
16,Sacred Games(2018–2019)
17,Dude(2021– )
18,College Romance(2018– )
19,Permanent Roommates(2014–2016)
20,Hostel Daze(2019– )
21,TVF Tripling(2016– )
22,Breathe(2018)
23,Flames(2018– )
24,Breathe: Into the Shadows(I) (2020– )
25,Cubicles(2019– )
26,Bang Baaja Baaraat(2015– )
27,Sex Chat with Pappu & Papa(2016– )
28,Comicstaan(2018– )
29,Baked(2015– )
30,Delhi Crime(2019– )
31,Decoupled(2021– )
32,Grahan(2021– )
33,Chacha Vidhayak Hain Humare(2018–2021)
34,Aarya(2020– )
35,Bandish Bandits(2020– )
36,Rudra: The Edge of Darkness(2022)
37,Sunflower(2021– )
38,The Aam Aadmi Family(2016– )
39,Hostages(2019– )
40,Criminal Justice(2019– )
41,Farzi(2023– )
